audio_path,text,speaker_id,scenario,emotion,language,split,source,source_license
wavs/000000_100001.wav,它包含了课程，就大班课程和它这种VIP一对一。,tts_sccusserfsc_female_001,order_query,polite,zh,dev,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000001_100003.wav,它包含了课程，就大班课程和它这种VIP一对一。,tts_sccusserfsc_female_001,order_query,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000002_100004.wav,Java主要是做运用性开发的，它的一个源代码是开源的，可以跨平台。,tts_sccusserfsc_female_001,education,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000003_100006.wav,是在长沙学的话，那个我问一下，你是只学JAVA吗？,tts_sccusserfsc_female_001,education,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000004_100015.wav,这种词汇营包括那种听力口语营，它的价位是四千九百八。,tts_sccusserfsc_female_001,education,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000005_100016.wav,在考人力呀心理呀这一方面的吗？有在考的吗？,tts_sccusserfsc_female_001,education,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000006_100017.wav,因为考研的话咱们有分英语一和英语二的课程。,tts_sccusserfsc_female_001,order_query,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000007_100018.wav,笔试的辅导课程的话在湖北武汉这边是有相关课程的。,tts_sccusserfsc_female_001,order_query,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000008_100019.wav,嗯，因为咱们也都知道学习英语的话呢，词汇和语法是最基础的。,tts_sccusserfsc_female_001,education,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000009_100020.wav,但是心理的价位是要比咱们国内的价位稍微高一些。,tts_sccusserfsc_female_001,education,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000010_100021.wav,出国的项目的话，咱们这边是考试或者是国游都有。,tts_sccusserfsc_female_001,education,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000011_100022.wav,我们老师会教怎么样去复习语法方面。,tts_sccusserfsc_female_001,education,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000012_100023.wav,现在计算机广告制作也跟咱们是有很大关系的。,tts_sccusserfsc_female_001,education,polite,zh,dev,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000013_100024.wav,您要过来的话肯定没有问题，因为您前面有高中的英语基础。,tts_sccusserfsc_female_001,education,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000014_100026.wav,那么刚好领完这个证书，你就可以正式步入会计的行业。,tts_sccusserfsc_female_001,education,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000015_100027.wav,那英语方面的成绩怎么样呢？,tts_sccusserfsc_female_001,education,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000016_100028.wav,就比如说刚刚跟您提到的英语二这个集训营的班级，我觉得很适合孩子。,tts_sccusserfsc_female_001,education,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000017_100030.wav,您好，新东方，五零三幺很高兴为您服务。,tts_sccusserfsc_female_001,greeting,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000018_100031.wav,如果说您要是有兴趣的话，在此基础上可以学一下心理。,tts_sccusserfsc_female_001,education,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000019_100032.wav,可能关注度就没有这么高的英语课程了。,tts_sccusserfsc_female_001,order_query,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000020_100035.wav,嗯，为什么会考虑出国留学呢？,tts_sccusserfsc_female_001,education,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000021_100036.wav,哦，那要这样的话比较建议您先从词汇的信息来上课。,tts_sccusserfsc_female_001,education,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000022_100037.wav,那我们主要把语文英语往上提一提其实就可以了。,tts_sccusserfsc_female_001,education,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
wavs/000023_100039.wav,您就知道您将来怎样的发展方向，那现在学的完全就是非相关。,tts_sccusserfsc_female_001,education,polite,zh,train,MatrixStudio/TTS-SCCusSerFSC,CC-BY-NC-ND-4.0
